City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Richards Bay,ZA,2021-06-06 06:18:00,-28.783,32.0377,61.47,83,86,2.64,overcast clouds
61,Hasaki,JP,2021-06-06 06:22:15,35.7333,140.8333,73.69,97,100,4.29,light rain
62,Louis Trichardt,ZA,2021-06-06 06:22:15,-23.0439,29.9032,50.29,76,41,4.94,scattered clouds
63,Constitucion,CL,2021-06-06 06:22:16,-35.3333,-72.4167,49.51,63,100,5.79,overcast clouds
64,Planaltina,BR,2021-06-06 06:22:16,-15.4528,-47.6142,66.49,81,72,4.29,broken clouds
65,Saldanha,ZA,2021-06-06 06:22:17,-33.0117,17.9442,66.11,35,26,23.0,scattered clouds
66,Atuona,PF,2021-06-06 06:22:17,-9.8,-139.0333,79.2,69,17,14.16,few clouds
67,Hervey Bay,AU,2021-06-06 06:22:17,-25.2986,152.8535,72.03,60,5,3.0,clear sky
68,Lata,PT,2021-06-06 06:22:19,40.1629,-8.3327,59.81,82,0,1.14,clear sky
69,Codrington,AU,2021-06-06 06:22:19,-38.2667,141.9667,60.51,73,100,14.85,overcast clouds
70,San Rafael,AR,2021-06-06 06:20:35,-34.6177,-68.3301,47.86,56,73,3.13,broken clouds
71,Faanui,PF,2021-06-06 06:22:20,-16.4833,-151.75,80.94,73,9,9.48,clear sky
72,Agas,RO,2021-06-06 06:22:20,46.4833,26.2167,62.89,84,59,1.57,broken clouds
73,Kropotkin,RU,2021-06-06 06:22:21,45.4375,40.5756,63.75,74,12,10.74,few clouds
74,Narsaq,GL,2021-06-06 06:22:21,60.9167,-46.05,44.82,84,100,1.79,overcast clouds
75,Malinyi,TZ,2021-06-06 06:22:23,-8.9333,36.1333,71.2,73,95,1.97,overcast clouds
76,Kpalime,TG,2021-06-06 06:22:23,6.9,0.6333,72.3,94,93,0.83,overcast clouds
77,Mahebourg,MU,2021-06-06 06:22:23,-20.4081,57.7,79.25,69,75,8.05,broken clouds
78,Shumikha,RU,2021-06-06 06:22:24,55.2261,63.2961,67.98,38,0,9.78,clear sky
79,Avarua,CK,2021-06-06 06:22:24,-21.2078,-159.775,73.45,68,40,3.44,scattered clouds
80,Panguna,PG,2021-06-06 06:22:25,-6.3164,155.4848,74.73,91,42,2.21,light rain
81,Thompson,CA,2021-06-06 06:22:25,55.7435,-97.8558,53.76,94,75,4.61,broken clouds
82,Hithadhoo,MV,2021-06-06 06:22:25,-0.6,73.0833,83.37,72,76,13.04,broken clouds
83,Bilgoraj,PL,2021-06-06 06:22:26,50.5411,22.722,62.37,74,6,4.83,clear sky
84,Esperance,AU,2021-06-06 06:22:26,-33.8667,121.9,67.84,59,35,18.5,scattered clouds
85,Manitouwadge,CA,2021-06-06 06:22:27,49.1215,-85.8403,57.92,97,39,5.03,scattered clouds
86,Qaanaaq,GL,2021-06-06 06:22:27,77.484,-69.3632,34.77,65,62,6.82,broken clouds
87,East London,ZA,2021-06-06 06:21:56,-33.0153,27.9116,50.94,76,0,3.44,clear sky
88,Mar Del Plata,AR,2021-06-06 06:21:12,-38.0023,-57.5575,47.12,65,0,1.01,clear sky
89,Damara,CF,2021-06-06 06:22:28,4.9608,18.7035,74.62,95,100,0.85,light rain
90,Manono,CD,2021-06-06 06:22:28,-7.3,27.4167,74.97,56,41,11.1,scattered clouds
91,Clyde River,CA,2021-06-06 06:22:29,70.4692,-68.5914,32.23,100,90,12.66,light snow
92,San Jose,US,2021-06-06 06:20:36,37.3394,-121.895,63.07,71,20,3.44,few clouds
93,Atar,MR,2021-06-06 06:22:30,20.5169,-13.0499,84.96,17,98,11.68,overcast clouds
94,Tasiilaq,GL,2021-06-06 06:22:30,65.6145,-37.6368,39.36,96,100,4.29,overcast clouds
95,Bluff,NZ,2021-06-06 06:22:30,-46.6,168.3333,49.8,76,81,4.83,broken clouds
